Classification,Trematode_12S,Trematode_16S,Trematode_coi,Trematode_coii,Trematode_cytb,Trematode_nd1
Species,0.127,0.144,0.176,0.179,0.186,0.205
Species,0.147,0.151,0.165,0.204,0.172,0.190
Species,0.103,0.101,0.154,0.177,0.144,0.157
Species,0.129,0.162,0.171,0.161,0.176,0.185
Species,0.217,0.259,0.237,0.349,0.246,0.287
Species,0.219,0.240,0.221,0.339,0.239,0.302
Species,0.079,0.080,0.089,0.113,0.080,0.083
Species,0.164,0.143,0.133,0.179,0.168,0.141
Species,0.188,0.147,0.125,0.170,0.158,0.141
Species,0.136,0.155,0.184,0.183,0.185,0.236
Species,0.149,0.180,0.195,0.208,0.220,0.243
Species,0.123,0.174,0.166,0.183,0.229,0.240
Species,0.105,0.113,0.141,0.177,0.162,0.184
Species,0.090,0.122,0.139,0.149,0.162,0.167
Species,0.094,0.129,0.142,0.165,0.164,0.172
Species,0.066,0.071,0.092,0.159,0.108,0.119
Genus,0.166,0.162,0.108,0.217,0.181,0.131
Genus,0.204,0.201,0.213,0.190,0.223,0.229
Genus,0.116,0.107,0.164,0.181,0.149,0.204
Genus,0.201,0.166,0.207,0.192,0.217,0.210
Genus,0.131,0.113,0.159,0.194,0.143,0.204
Genus,0.208,0.169,0.213,0.217,0.203,0.200
Genus,0.210,0.153,0.222,0.199,0.205,0.224
Genus,0.210,0.147,0.215,0.199,0.196,0.172
Genus,0.210,0.140,0.223,0.185,0.198,0.174
Genus,0.208,0.162,0.160,0.226,0.219,0.190
Genus,0.197,0.206,0.169,0.299,0.221,0.285
Genus,0.212,0.215,0.177,0.326,0.227,0.269
Genus,0.236,0.215,0.242,0.292,0.256,0.297
Family,0.287,0.269,0.268,0.317,0.248,0.293
Family,0.287,0.258,0.270,0.303,0.289,0.308
Family,0.298,0.246,0.264,0.328,0.254,0.292
Family,0.260,0.233,0.272,0.294,0.276,0.292
Family,0.317,0.240,0.255,0.328,0.243,0.281
Family,0.302,0.231,0.273,0.314,0.258,0.288
Family,0.298,0.242,0.260,0.360,0.238,0.294
Family,0.256,0.235,0.264,0.289,0.255,0.309
Family,0.252,0.253,0.222,0.333,0.228,0.254
Family,0.252,0.241,0.238,0.281,0.250,0.265
Family,0.197,0.250,0.194,0.274,0.203,0.209
Family,0.206,0.251,0.201,0.285,0.207,0.203
Family,0.230,0.260,0.208,0.296,0.216,0.217
Family,0.234,0.242,0.223,0.292,0.213,0.222
Family,0.234,0.247,0.201,0.294,0.208,0.198
Family,0.225,0.246,0.197,0.303,0.214,0.215
Family,0.239,0.231,0.217,0.303,0.226,0.211
Family,0.249,0.240,0.211,0.290,0.202,0.209
Family,0.212,0.195,0.213,0.337,0.251,0.281
Family,0.223,0.195,0.202,0.337,0.261,0.287
Family,0.236,0.209,0.219,0.355,0.262,0.282
Family,0.241,0.200,0.223,0.348,0.257,0.293
Family,0.282,0.289,0.326,0.409,0.311,0.386
Family,0.322,0.300,0.318,0.414,0.306,0.383
Family,0.324,0.298,0.316,0.427,0.323,0.377
Family,0.267,0.272,0.282,0.371,0.286,0.335
Family,0.291,0.269,0.286,0.396,0.281,0.348
Family,0.289,0.263,0.296,0.414,0.294,0.329
Family,0.269,0.281,0.289,0.366,0.297,0.334
Family,0.295,0.286,0.294,0.380,0.282,0.335
Family,0.293,0.285,0.299,0.394,0.292,0.316
Family,0.267,0.278,0.291,0.380,0.291,0.346
Family,0.300,0.285,0.298,0.394,0.295,0.344
Family,0.291,0.281,0.294,0.409,0.295,0.338
Suborder,0.306,0.312,0.298,0.366,0.267,0.309
Suborder,0.306,0.278,0.300,0.360,0.289,0.304
Suborder,0.337,0.316,0.300,0.384,0.295,0.341
Suborder,0.309,0.313,0.291,0.378,0.266,0.291
Suborder,0.309,0.303,0.281,0.366,0.257,0.291
Suborder,0.313,0.314,0.296,0.378,0.268,0.292
Suborder,0.309,0.298,0.292,0.367,0.245,0.304
Suborder,0.293,0.271,0.318,0.376,0.313,0.348
Suborder,0.293,0.269,0.290,0.357,0.270,0.331
Suborder,0.293,0.284,0.293,0.351,0.276,0.313
Suborder,0.289,0.278,0.294,0.353,0.272,0.306
Suborder,0.304,0.291,0.306,0.371,0.292,0.359
Suborder,0.295,0.320,0.313,0.387,0.291,0.335
Suborder,0.289,0.323,0.305,0.391,0.298,0.338
Suborder,0.304,0.280,0.293,0.380,0.248,0.290
Suborder,0.302,0.269,0.300,0.382,0.252,0.287
Suborder,0.324,0.299,0.300,0.407,0.288,0.338
Suborder,0.300,0.299,0.284,0.375,0.250,0.259
Suborder,0.300,0.290,0.290,0.371,0.258,0.271
Suborder,0.302,0.304,0.294,0.391,0.263,0.284
Suborder,0.295,0.296,0.299,0.373,0.251,0.281
Suborder,0.278,0.271,0.317,0.409,0.290,0.333
Suborder,0.276,0.256,0.281,0.385,0.277,0.313
Suborder,0.282,0.268,0.286,0.378,0.275,0.297
Suborder,0.289,0.264,0.290,0.360,0.276,0.299
Suborder,0.291,0.277,0.303,0.391,0.289,0.353
Suborder,0.306,0.299,0.302,0.380,0.299,0.331
Suborder,0.313,0.298,0.315,0.384,0.304,0.327
Suborder,0.333,0.271,0.302,0.401,0.230,0.279
Suborder,0.324,0.263,0.308,0.385,0.254,0.280
Suborder,0.348,0.299,0.281,0.384,0.271,0.327
Suborder,0.335,0.296,0.290,0.384,0.250,0.269
Suborder,0.337,0.289,0.282,0.375,0.246,0.265
Suborder,0.337,0.304,0.290,0.382,0.246,0.290
Suborder,0.322,0.295,0.294,0.369,0.241,0.279
Suborder,0.324,0.265,0.301,0.403,0.297,0.347
Suborder,0.317,0.254,0.286,0.384,0.273,0.313
Suborder,0.306,0.253,0.288,0.376,0.256,0.310
Suborder,0.330,0.258,0.291,0.375,0.271,0.309
Suborder,0.311,0.284,0.308,0.391,0.282,0.356
Suborder,0.306,0.305,0.310,0.373,0.283,0.329
Suborder,0.311,0.303,0.315,0.392,0.295,0.312
Suborder,0.298,0.289,0.301,0.400,0.237,0.288
Suborder,0.309,0.268,0.300,0.409,0.251,0.308
Suborder,0.335,0.299,0.292,0.389,0.279,0.348
Suborder,0.306,0.296,0.296,0.371,0.234,0.287
Suborder,0.306,0.285,0.282,0.358,0.239,0.291
Suborder,0.322,0.304,0.290,0.387,0.248,0.292
Suborder,0.324,0.295,0.295,0.392,0.248,0.312
Suborder,0.295,0.260,0.309,0.410,0.284,0.334
Suborder,0.298,0.263,0.292,0.385,0.250,0.338
Suborder,0.284,0.251,0.298,0.384,0.266,0.309
Suborder,0.300,0.271,0.307,0.362,0.277,0.319
Suborder,0.313,0.276,0.306,0.369,0.280,0.364
Suborder,0.319,0.295,0.308,0.380,0.290,0.344
Suborder,0.326,0.286,0.303,0.392,0.294,0.342
Suborder,0.274,0.285,0.268,0.385,0.254,0.257
Suborder,0.306,0.263,0.267,0.403,0.259,0.266
Suborder,0.324,0.293,0.270,0.400,0.288,0.311
Suborder,0.269,0.274,0.245,0.364,0.255,0.241
Suborder,0.278,0.268,0.239,0.348,0.251,0.243
Suborder,0.276,0.291,0.255,0.384,0.266,0.248
Suborder,0.284,0.278,0.262,0.367,0.247,0.253
Suborder,0.287,0.259,0.282,0.378,0.286,0.321
Suborder,0.263,0.251,0.253,0.357,0.264,0.277
Suborder,0.265,0.255,0.264,0.362,0.260,0.253
Suborder,0.263,0.264,0.252,0.337,0.264,0.265
Suborder,0.278,0.274,0.279,0.385,0.296,0.318
Suborder,0.300,0.294,0.294,0.391,0.305,0.316
Suborder,0.300,0.286,0.287,0.391,0.307,0.309
Suborder,0.280,0.294,0.268,0.419,0.270,0.296
Suborder,0.315,0.305,0.277,0.419,0.275,0.282
Suborder,0.298,0.290,0.278,0.428,0.293,0.317
Suborder,0.282,0.281,0.268,0.384,0.268,0.282
Suborder,0.271,0.282,0.265,0.387,0.267,0.275
Suborder,0.271,0.300,0.272,0.401,0.262,0.271
Suborder,0.274,0.303,0.267,0.396,0.267,0.273
Suborder,0.293,0.276,0.286,0.425,0.294,0.313
Suborder,0.267,0.265,0.253,0.384,0.284,0.294
Suborder,0.263,0.269,0.259,0.375,0.293,0.277
Suborder,0.271,0.268,0.251,0.387,0.298,0.282
Suborder,0.298,0.299,0.301,0.421,0.312,0.344
Suborder,0.317,0.318,0.319,0.376,0.312,0.330
Suborder,0.313,0.312,0.313,0.418,0.318,0.323
Suborder,0.280,0.280,0.295,0.419,0.251,0.308
Suborder,0.284,0.276,0.304,0.419,0.281,0.291
Suborder,0.309,0.293,0.305,0.419,0.312,0.354
Suborder,0.291,0.299,0.282,0.412,0.280,0.290
Suborder,0.298,0.293,0.290,0.416,0.278,0.294
Suborder,0.309,0.316,0.298,0.410,0.269,0.291
Suborder,0.298,0.304,0.299,0.425,0.276,0.278
Suborder,0.282,0.242,0.294,0.412,0.307,0.311
Suborder,0.280,0.247,0.274,0.384,0.290,0.313
Suborder,0.269,0.262,0.283,0.391,0.295,0.312
Suborder,0.274,0.263,0.286,0.387,0.308,0.318
Suborder,0.326,0.287,0.315,0.401,0.330,0.377
Suborder,0.330,0.290,0.324,0.405,0.336,0.356
Suborder,0.344,0.298,0.326,0.419,0.335,0.355
Suborder,0.276,0.296,0.302,0.400,0.288,0.329
Suborder,0.276,0.276,0.272,0.371,0.251,0.288
Suborder,0.282,0.274,0.264,0.375,0.226,0.282
Suborder,0.256,0.289,0.264,0.366,0.255,0.286
Suborder,0.295,0.302,0.302,0.398,0.282,0.337
Suborder,0.302,0.330,0.306,0.391,0.266,0.323
Suborder,0.306,0.331,0.304,0.389,0.279,0.321
Suborder,0.271,0.291,0.310,0.421,0.294,0.331
Suborder,0.265,0.268,0.271,0.384,0.254,0.290
Suborder,0.263,0.277,0.271,0.371,0.252,0.278
Suborder,0.247,0.287,0.260,0.382,0.266,0.271
Suborder,0.300,0.289,0.297,0.412,0.288,0.322
Suborder,0.287,0.294,0.290,0.398,0.277,0.318
Suborder,0.298,0.289,0.298,0.398,0.280,0.316
Suborder,0.306,0.304,0.304,0.432,0.302,0.384
Suborder,0.309,0.265,0.281,0.405,0.274,0.341
Suborder,0.313,0.276,0.268,0.412,0.293,0.337
Suborder,0.284,0.272,0.270,0.401,0.297,0.333
Suborder,0.315,0.318,0.305,0.392,0.310,0.373
Suborder,0.319,0.299,0.307,0.423,0.310,0.340
Suborder,0.317,0.295,0.316,0.418,0.307,0.333
Suborder,0.271,0.305,0.288,0.394,0.276,0.328
Suborder,0.260,0.280,0.249,0.369,0.255,0.292
Suborder,0.260,0.293,0.252,0.360,0.245,0.275
Suborder,0.245,0.311,0.240,0.367,0.266,0.297
Suborder,0.311,0.305,0.268,0.387,0.264,0.310
Suborder,0.300,0.307,0.288,0.407,0.266,0.303
Suborder,0.289,0.303,0.276,0.400,0.269,0.290
Suborder,0.269,0.298,0.287,0.403,0.292,0.317
Suborder,0.263,0.277,0.243,0.366,0.250,0.287
Suborder,0.267,0.293,0.246,0.353,0.238,0.278
Suborder,0.243,0.312,0.238,0.360,0.260,0.292
Suborder,0.319,0.285,0.262,0.376,0.260,0.315
Suborder,0.309,0.300,0.272,0.387,0.264,0.277
Suborder,0.298,0.294,0.274,0.384,0.262,0.281
Suborder,0.287,0.311,0.278,0.396,0.297,0.317
Suborder,0.278,0.286,0.252,0.360,0.263,0.287
Suborder,0.287,0.313,0.255,0.362,0.253,0.287
Suborder,0.271,0.314,0.249,0.371,0.271,0.281
Suborder,0.317,0.308,0.278,0.385,0.279,0.308
Suborder,0.295,0.316,0.278,0.409,0.285,0.302
Suborder,0.313,0.322,0.275,0.418,0.292,0.298
Suborder,0.295,0.298,0.294,0.407,0.278,0.343
Suborder,0.291,0.290,0.254,0.371,0.238,0.291
Suborder,0.276,0.289,0.262,0.369,0.250,0.287
Suborder,0.267,0.303,0.250,0.346,0.256,0.305
Suborder,0.322,0.295,0.278,0.369,0.265,0.322
Suborder,0.319,0.308,0.277,0.391,0.264,0.290
Suborder,0.330,0.307,0.277,0.392,0.274,0.286
