Classification,Nematode_12S,Nematode_16S,Nematode_COI,Nematode_COII,Nematode_cytb,Nematode_ND
Species,0.046,0.065,0.103,0.129,0.129,0.155
Species,0.072,0.116,0.137,0.154,0.172,0.168
Species,0.043,0.075,0.081,0.105,0.109,0.126
Species,0.058,0.127,0.135,0.143,0.178,0.159
Species,0.078,0.108,0.136,0.13,0.175,0.174
Species,0.086,0.113,0.128,0.123,0.155,0.166
Species,0.066,0.109,0.122,0.147,0.169,0.157
Species,0.014,0.066,0.11,0.13,0.108,0.124
Species,0.006,0.018,0.067,0.136,0.121,0.124
Species,0.009,0.056,0.107,0.083,0.064,0.062
Species,0.026,0.096,0.105,0.123,0.11,0.107
Species,0.032,0.041,0.12,0.136,0.163,0.169
Genus,0.11,0.164,0.135,0.138,0.197,0.207
Genus,0.115,0.162,0.142,0.143,0.189,0.23
Genus,0.061,0.111,0.112,0.129,0.144,0.178
Genus,0.058,0.116,0.12,0.127,0.163,0.151
Genus,0.061,0.106,0.119,0.132,0.154,0.175
Genus,0.037,0.089,0.132,0.132,0.149,0.156
Genus,0.035,0.101,0.14,0.159,0.141,0.141
Genus,0.046,0.098,0.138,0.141,0.156,0.171
Genus,0.04,0.104,0.138,0.138,0.141,0.131
Family,0.161,0.182,0.171,0.228,0.243,0.258
Family,0.156,0.175,0.177,0.239,0.245,0.263
Family,0.164,0.175,0.183,0.216,0.259,0.269
Family,0.17,0.19,0.19,0.23,0.27,0.269
Family,0.135,0.164,0.152,0.223,0.239,0.263
Family,0.13,0.141,0.149,0.223,0.242,0.261
Family,0.127,0.157,0.14,0.207,0.241,0.269
Family,0.124,0.142,0.141,0.216,0.261,0.265
Family,0.124,0.159,0.146,0.219,0.231,0.253
Family,0.141,0.159,0.15,0.214,0.233,0.259
Family,0.127,0.157,0.141,0.217,0.217,0.259
Family,0.127,0.164,0.148,0.212,0.24,0.256
Family,0.176,0.184,0.177,0.158,0.202,0.217
Family,0.164,0.164,0.186,0.17,0.208,0.218
Family,0.184,0.172,0.175,0.147,0.207,0.214
Family,0.173,0.189,0.191,0.159,0.209,0.23
Family,0.147,0.164,0.145,0.143,0.202,0.214
Family,0.135,0.149,0.156,0.152,0.202,0.22
Family,0.133,0.151,0.141,0.147,0.21,0.24
Family,0.13,0.149,0.148,0.138,0.188,0.222
Family,0.13,0.161,0.15,0.139,0.188,0.236
Family,0.147,0.167,0.15,0.154,0.202,0.232
Family,0.133,0.161,0.162,0.154,0.188,0.247
Family,0.127,0.167,0.154,0.159,0.19,0.242
Family,0.112,0.172,0.169,0.147,0.201,0.231
Family,0.118,0.167,0.167,0.145,0.186,0.241
Family,0.118,0.174,0.16,0.134,0.198,0.253
Family,0.13,0.162,0.177,0.163,0.197,0.244
Family,0.121,0.18,0.132,0.141,0.161,0.194
Family,0.101,0.162,0.135,0.161,0.151,0.19
Family,0.075,0.124,0.128,0.152,0.152,0.204
Family,0.075,0.127,0.133,0.174,0.162,0.189
Family,0.069,0.116,0.131,0.161,0.163,0.185
Family,0.086,0.134,0.126,0.159,0.155,0.174
Family,0.095,0.136,0.131,0.152,0.167,0.228
Family,0.086,0.139,0.135,0.167,0.162,0.22
Family,0.066,0.144,0.152,0.185,0.223,0.244
Family,0.133,0.159,0.154,0.212,0.221,0.24
Family,0.098,0.162,0.159,0.223,0.209,0.225
Family,0.104,0.139,0.171,0.217,0.215,0.216
Family,0.098,0.147,0.164,0.208,0.217,0.24
Family,0.11,0.159,0.173,0.207,0.215,0.217
Family,0.11,0.149,0.16,0.207,0.222,0.255
Family,0.11,0.141,0.173,0.223,0.216,0.228
Family,0.095,0.146,0.152,0.225,0.239,0.251
Family,0.127,0.167,0.168,0.221,0.243,0.244
Family,0.104,0.149,0.173,0.221,0.212,0.234
Family,0.104,0.147,0.165,0.223,0.227,0.241
Family,0.098,0.151,0.179,0.248,0.233,0.264
Family,0.104,0.167,0.179,0.21,0.231,0.251
Family,0.11,0.161,0.167,0.219,0.227,0.273
Family,0.11,0.147,0.169,0.241,0.225,0.253
Family,0.092,0.146,0.147,0.208,0.219,0.254
Family,0.127,0.156,0.148,0.217,0.226,0.244
Family,0.11,0.157,0.148,0.223,0.205,0.239
Family,0.112,0.139,0.16,0.207,0.22,0.231
Family,0.11,0.147,0.17,0.226,0.229,0.259
Family,0.121,0.151,0.16,0.199,0.219,0.23
Family,0.121,0.151,0.159,0.214,0.223,0.264
Family,0.121,0.146,0.173,0.221,0.223,0.246
Family,0.115,0.141,0.152,0.199,0.206,0.249
Family,0.141,0.169,0.156,0.208,0.217,0.237
Family,0.115,0.157,0.167,0.212,0.206,0.232
Family,0.115,0.151,0.168,0.201,0.217,0.236
Family,0.115,0.149,0.188,0.203,0.213,0.241
Family,0.121,0.162,0.176,0.207,0.209,0.217
Family,0.133,0.154,0.175,0.207,0.215,0.263
Family,0.124,0.147,0.182,0.214,0.221,0.23
Family,0.107,0.162,0.133,0.123,0.163,0.169
Family,0.081,0.113,0.123,0.141,0.144,0.152
Family,0.066,0.114,0.129,0.118,0.141,0.142
Family,0.075,0.126,0.144,0.121,0.133,0.142
Family,0.032,0.091,0.12,0.154,0.147,0.154
Family,0.037,0.094,0.109,0.154,0.149,0.141
Family,0.023,0.091,0.136,0.136,0.144,0.129
Family,0.026,0.091,0.145,0.13,0.145,0.126
Family,0.029,0.068,0.111,0.125,0.166,0.198
Family,0.035,0.07,0.108,0.143,0.162,0.16
Family,0.026,0.07,0.133,0.172,0.166,0.184
Family,0.023,0.096,0.139,0.152,0.162,0.14
Family,0.026,0.086,0.118,0.127,0.15,0.174
Family,0.032,0.086,0.104,0.118,0.153,0.16
Family,0.017,0.083,0.133,0.163,0.154,0.169
Family,0.02,0.086,0.133,0.152,0.158,0.131
